epoch;acc;loss;val_acc;val_loss
0;0.6639024;0.6987580921837684;0.6772087;0.6695867138232999
1;0.7055825;0.6114422379638256;0.69;0.6476514465832016
0;0.6853506;0.661842067187658;0.6911165;0.6370126847618992
1;0.7325836;0.5648273457601233;0.7066019;0.6144402328278254
0;0.6877751;0.6546718536817269;0.7027913;0.6297205137975007
1;0.731459;0.5662056987583959;0.7082039;0.6133550141621562
2;0.7550189;0.5168621530501973;0.7054126;0.607481451891001
3;0.7779369;0.47381147571366194;0.713034;0.6150413430547251
4;0.7981877;0.43679361218259044;0.7168447;0.6230447006920009
0;0.6880825;0.654002849260966;0.70002425;0.6291227500184069
1;0.7317044;0.5668983957129646;0.71029127;0.6145090247357933
